날짜,일정
43346,개강
43361,춘천 축제
43362,춘천 축제
43363,대동제(춘천)
43406,중간시험 종료일
43460,기말시험 종료일
43523,입학식(삼척)
43524,입학식(춘천)
43528,개강
43581,중간시험 종료일
43606,체육대회(삼척)
43607,체육대회(삼척)
43608,체육대회(삼척)
43630,개교기념일
43636,기말시험 종료일
43710,개강
43725,대동제(춘천)
43726,대동제(춘천)
43727,대동제(춘천)
43773,중간시험 종료일
43819,기말고사 종료일
43906,개강
43959,중간시험 종료일
43996,개교기념일
44008,기말시험 종료일
44074,개강
44089,대동제(춘천)
44090,대동제(춘천)
44091,대동제(춘천)
44104,추석연휴
44105,추석연휴
44106,추석연휴
44137,중간시험 종료일
44183,기말시험 종료일
44257,개강
44309,중간시험 종료일
44361,개교기념일
44364,기말시험 종료일
